id;no_pengajuan;nama_pemohon;alamat;phone;email;no_surat;jenis_surat;created_by;tgl_pengajuan;tgl_proses;tgl_selesai;status;updated_by;tgl_update
1;1;PT. Anugrah Bina Sarana an Suradi Budi Utomo A.21;Jl. Merdeka No. 138 RT 06 RW 02;81260307845;anugrahbinasara@mail.com;640/006/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;22/06/2025;17/06/2026;18/06/2026;Selesai;;
2;2;PT. Anugrah Bina Sarana an Suradi Budi Utomo A.22;Jl. Merdeka No. 71 RT 02 RW 12;81284971619;anugrahbinasara@mail.com;640/006/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;01/10/2025;17/06/2026;17/06/2026;Selesai;;
3;3;PT. Anugrah Bina Sarana an Suradi Budi Utomo A.23;Jl. Merdeka No. 78 RT 01 RW 11;81286175735;anugrahbinasara@mail.com;640/006/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;29/11/2025;01/12/2025;17/06/2026;Selesai;;
4;4;PT. Anugrah Bina Sarana an Suradi Budi Utomo A.24;Jl. Merdeka No. 104 RT 12 RW 09;81226468442;anugrahbinasara@mail.com;640/006/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;09/05/2025;18/06/2026;;Diproses;;
5;5;PT. Anugrah Bina Sarana an Suradi Budi Utomo A.25;Jl. Merdeka No. 143 RT 01 RW 10;81289803492;anugrahbinasara@mail.com;640/006/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;12/10/2025;;18/06/2026;Selesai;;
6;6;PT. Anugrah Bina Sarana an Suradi Budi Utomo A.26;Jl. Merdeka No. 55 RT 11 RW 06;81220526208;anugrahbinasara@mail.com;640/006/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;01/02/2025;18/06/2026;27/06/2026;Selesai;;
7;7;PT. Anugrah Bina Sarana an Suradi Budi Utomo F.04;Jl. Merdeka No. 140 RT 09 RW 11;81290803279;anugrahbinasara@mail.com;640/064/DPMPTSP/2025;Pengajuan Surat Izin;admin;23/12/2025;;;Menunggu;;
8;8;Asyulinda;Jl. Merdeka No. 67 RT 05 RW 10;81241827337;asyulinda@mail.com;640/066/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;28/09/2025;17/06/2026;17/06/2026;Selesai;;
9;9;Slamet Riyadi;Jl. Merdeka No. 104 RT 09 RW 04;81297863378;slametriyadi@mail.com;640/104/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;06/05/2025;09/05/2025;16/05/2025;Selesai;;
10;10;Eni Pesma;Jl. Merdeka No. 19 RT 09 RW 05;81286607037;enipesma@mail.com;640/096/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;31/07/2025;01/08/2025;18/06/2026;Selesai;;
11;11;Rozalina;Jl. Merdeka No. 1 RT 03 RW 11;81247051419;rozalina@mail.com;640/123/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;24/07/2025;26/07/2025;31/07/2025;Selesai;;
12;12;Syafrial;Jl. Merdeka No. 142 RT 07 RW 02;81296630972;syafrial@mail.com;640/168/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;10/08/2025;13/08/2025;15/08/2025;Selesai;;
13;13;Nurmainis;Jl. Merdeka No. 98 RT 04 RW 05;81256588543;nurmainis@mail.com;640/182/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;26/02/2025;27/02/2025;;Ditolak;;
14;14;PT. Sadewa Karya Tama;Jl. Merdeka No. 62 RT 02 RW 05;81249392907;sadewakaryatama@mail.com;640/172/DPMPTSP/2025;Permohonan Izin Operasional Klinik;admin;11/03/2025;12/03/2025;;Diproses;;
15;15;Hasban Marpaung;Jl. Merdeka No. 24 RT 04 RW 11;81284525561;hasbmarpaung@mail.com;640/176/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;17/10/2025;19/10/2025;25/10/2025;Selesai;;
16;16;Meli Susanti;Jl. Merdeka No. 112 RT 03 RW 02;81239867855;melisusanti@mail.com;640/187/DPMPTSP/2025;Pengajuan Surat Izin;admin;17/05/2025;18/05/2025;;Diproses;;
17;17;Sabirin 1;Jl. Merdeka No. 136 RT 01 RW 05;81266792375;sabirin1@mail.com;640/219/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;10/11/2025;12/11/2025;;Diproses;;
18;18;Dian Filzah Aytis;Jl. Merdeka No. 122 RT 01 RW 06;81261847464;difilzahaytis@mail.com;600.1/190/DPMPTSP/2025;Permohonan Izin Operasional Klinik;admin;31/12/2025;03/01/2026;09/01/2026;Selesai;;
19;19;Efrida Yanti an Amelia Kartika Ningsih 1;Jl. Merdeka No. 72 RT 10 RW 09;81244014113;efridayantiamel@mail.com;600.1/185/DPMPTSP/2025;Pengajuan Surat Izin;admin;24/02/2025;26/02/2025;03/03/2025;Selesai;;
